GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2013,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2013,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2013,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2013,MEASLES,Measles,"per 1,000,000 total population",178.5
WHO_REGIONS,AFR,African Region,2013,MUMPS,Mumps,"per 1,000,000 total population",49.8
WHO_REGIONS,AFR,African Region,2013,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2013,PERTUSSIS,Pertussis,"per 1,000,000 total population",18.2
WHO_REGIONS,AFR,African Region,2013,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.2
WHO_REGIONS,AFR,African Region,2013,RUBELLA,Rubella,"per 1,000,000 total population",14.8
WHO_REGIONS,AFR,African Region,2013,TTETANUS,Total tetanus,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2013,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2012,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2012,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2012,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2012,MEASLES,Measles,"per 1,000,000 total population",121.4
WHO_REGIONS,AFR,African Region,2012,MUMPS,Mumps,"per 1,000,000 total population",17.6
WHO_REGIONS,AFR,African Region,2012,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2012,PERTUSSIS,Pertussis,"per 1,000,000 total population",32.4
WHO_REGIONS,AFR,African Region,2012,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.4
WHO_REGIONS,AFR,African Region,2012,RUBELLA,Rubella,"per 1,000,000 total population",12.6
WHO_REGIONS,AFR,African Region,2012,TTETANUS,Total tetanus,"per 1,000,000 total population",6.2
WHO_REGIONS,AFR,African Region,2012,YFEVER,Yellow fever,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2011,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2011,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2011,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
